Nome do Colaborador;CPF;Funcao;Turno/Horario
Carlos Alberto Silva;123.456.789-01;Atendente;Manhã
Mariana Souza Santos;234.567.890-12;Atendente;Noite
Maria das Dores Costa;345.678.901-23;Mulher da Limpeza;Manhã
Ana Cláudia Ribeiro;456.789.012-34;Mulher da Limpeza;Tarde
Francisca Alves Gomes;567.890.123-45;Mulher da Limpeza;Noite
Rodrigo 'Minotauro' Lima;678.901.234-56;Professor de Lutas;Noite
Felipe 'Shogun' Machado;789.012.345-67;Professor de Lutas;Tarde
Ricardo Oliveira Prado;890.012.345-89;Professor;Manhã
Amanda Meireles Costa;901.123.456-90;Professor;Manhã
Juliana Paes Fonseca;012.234.567-01;Professor;Manhã
Bruno Henrique Castro;123.345.456-12;Professor;Tarde
Camila Rodrigues Dias;234.456.567-23;Professor;Tarde
Diego Tardelli Ramos;345.567.678-34;Professor;Tarde
Gabriel Barbosa Almeida;456.678.789-45;Professor;Noite
Larissa Manoela Cruz;567.789.890-56;Professor;Noite
Mateus Solano Rocha;678.890.901-67;Professor;Noite
Natália Guimarães Lima;789.901.012-78;Professor;Noite
Thiago Neves Ferreira;890.912.123-89;Personal;Manhã/Tarde
Fernanda Lima Montenegro;901.023.234-90;Personal;Manhã
Gustavo Lima Fagundes;012.134.345-01;Personal;Tarde/Noite
Patricia Pillar Santos;123.245.456-12;Personal;Noite
Renato Aragão Melo;234.356.567-23;Personal;Manhã/Noite
Sofia Loren Cardoso;345.467.678-34;Personal;Tarde
Vitor Hugo Silveira;456.578.789-45;Personal;Manhã/Tarde/Noite
