ID;Data Matricula;Nome Aluno;CPF_CNPJ;Telefone;Plano;Valor Mensal;Status
1;10/01/2026;Carlos Henrique Silva;123.456.789-00;(49) 99999-1111;Mensal Livre;120,00;Ativo
2;11/01/2026;MARIA SOUZA SANTOS;98765432111;49988882222;Anual;89,90;Ativo
3;12/01/2026;carlos henrique silva;123.456.789-00;49 999991111;Mensal;120,00;Ativo
4;15/01/2026;Ana Paula Viana;000.111.222-33;NÃO INFORMADO;Musculacao;100,00;Trancado
5;16/01/2026;Empresa Alfa Trade;12.345.678/0001-9A;4933221100;Corporativo;75,00;Ativo
6;18/01/2026;Lucas Gabriel Lima;444.555.666-77;49-97777-3333;Mensal Livre;120,00;Inativo
7;20/01/2026;Juliana Mendes;555.666.777-88;(49)96666-4444;Plano Anual;89,90;Cancelado
8;22-01-2026;Pedro Alves Rocha;66677788899;49955556666;Pilates;150,00;Ativo
9;25/01/2026;Marcos Paulo Faria;777.888.999-00;;Mensal Livre;120,00;Ativo
10;26/01/2026;Fernanda Lima Cruz;888.999.000-11;49 94444-5555;Gympass;0,00;Ativo
11;01/02/2026;Roberto Carlos Oliveira;112.223.334-45;(49) 93333-2222;Anual Gold;89,90;Ativo
12;02/02/2026;Amanda Rodrigues;223.334.445-56;49922223333;Mensal;120,00;Inativo
13;03/02/2026;Bruno Cesar Santos;334.445.556-67;49-91111-4444;Musculacao;100,00;Ativo
14;05-02-2026;Camila Pitanga Silva;445.556.667-78;Nao tem;Fideliade;89,90;Ativo
15;06/02/2026;Diego Maradona Souza;556.667.778-89;49 90000-5555;Mensal Livre;120,00;Trancado
16;08/02/2026;Eduarda Montenegro;667.778.889-90;(49)98989-1111;Plano Anual;89,90;Ativo
17;10/02/2026;Fabio Assuncao Melo;778.889.990-01;49987872222;Crossfit;180,00;Ativo
18;12/02/2026;Gabriel Barbosa Gol;889.990.001-12;;Mensal;120,00;Cancelado
19;14/02/2026;Helena Roitman;990.001.002-23;49-97676-3333;Anual;89,90;Ativo
20;15/02/2026;Igor Guimaraes;001.002.003-34;49 965654444;Musculacao + Cardio;130,00;Ativo
21;17/02/2026;Joao da Silva;123.456.789-00;49999991111;Mensal Livre;120,00;Ativo
22;19/02/2026;Karina Bacchi;012.023.034-45;(49) 95454-5555;Pilates;150,00;Ativo
23;20-02-2026;Leandro Hassum;023.034.045-56;49943436666;Anual;89,90;Inativo
24;22/02/2026;Mariana Ximenes;034.045.056-67;49-93232-7777;Mensal Livre;120,00;Ativo
